"iso3c","country_name","year","pop"
"URY","Uruguay",2018,3427042
"USA","United States",2018,335828077
"UZB","Uzbekistan",2018,32449576
"VCT","St. Vincent & Grenadines",2018,105281
"VEN","Venezuela",2018,29825653
"VNM","Vietnam",2018,94914330
"VUT","Vanuatu",2018,297298
"WSM","Samoa",2018,209701
"YEM","Yemen",2018,30790513
"ZAF","South Africa",2018,57339635
"ZMB","Zambia",2018,17835893
"ZWE","Zimbabwe",2018,15052184
NA,NA,2018,532541
