"country_iso3_alpha","country_iso3_numeric","country_name_en","SciName","CommonName","taxa_source","year","Species01","Genus01","Family01","Other01","habitat","prod_method","quantity"
"BRA",76,"Brazil","artemesia longinaris","argentine stiletto shrimp","artemesia.longinaris_marine_capture",2018,1,0,0,0,"marine","capture",2800
"BEL",56,"Belgium","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",1413
"BGR",100,"Bulgaria","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",1
"DEU",276,"Germany","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",17892
"DNK",208,"Denmark","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",3055
"ESP",724,"Spain","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",13
"FRA",250,"France","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",263
"GBR",826,"United Kingdom","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",1125
"IRL",372,"Ireland","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",27
"ITA",380,"Italy","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",5
"NLD",528,"Netherlands","crangon crangon","common shrimp","crangon.crangon_marine_capture",2018,1,0,0,0,"marine","capture",27385
"BEN",204,"Benin","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",6
"CAN",124,"Canada","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",2013
"CHN",156,"China","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",196131
"CYP",196,"Cyprus","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",1
"EGY",818,"Egypt","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",6346
"ESP",724,"Spain","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",1176
"FRA",250,"France","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",10
"GHA",288,"Ghana","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",386
"GNB",624,"Guinea-Bissau","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",50
"GRC",300,"Greece","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",42
"HKG",344,"China, Hong Kong SAR","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",3665
"HTI",332,"Haiti","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",100
"IDN",360,"Indonesia","crangonidae","natantian decapods nei","crangonidae_inland_capture",2018,0,0,1,0,"inland","capture",7936
"IDN",360,"Indonesia","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",107749
"IND",356,"India","crangonidae","natantian decapods nei","crangonidae_inland_capture",2018,0,0,1,0,"inland","capture",32527.514
"IND",356,"India","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",194011
"IRN",364,"Iran (Islamic Rep. of)","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",8805
"ITA",380,"Italy","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",286
"JPN",392,"Japan","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",13103
"KEN",404,"Kenya","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",190
"KHM",116,"Cambodia","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",11350
"KOR",410,"Korea, Republic of","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",11784
"KWT",414,"Kuwait","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",617
"LBN",422,"Lebanon","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",10
"MAC",446,"China, Macao SAR","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",230
"MAR",504,"Morocco","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",6683
"MDG",450,"Madagascar","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",18776
"MMR",104,"Myanmar","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",27703
"MNE",499,"Montenegro","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",1
"MYS",458,"Malaysia","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",69743
"NGA",566,"Nigeria","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",28582
"OMN",512,"Oman","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",1062
"PHL",608,"Philippines","crangonidae","natantian decapods nei","crangonidae_inland_capture",2018,0,0,1,0,"inland","capture",5123
"PNG",598,"Papua New Guinea","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",190
"PSE",275,"Palestine","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",129
"RUS",643,"Russian Federation","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",902
"SEN",686,"Senegal","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",1500
"SGP",702,"Singapore","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",254
"TLS",626,"Timor-Leste","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",14.324
"TUR",792,"Turkey","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",1104
"TWN",158,"Taiwan Province of China","crangonidae","natantian decapods nei","crangonidae_inland_aquaculture",2018,0,0,1,0,"inland","aquaculture",1.08
"TWN",158,"Taiwan Province of China","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",6989
"USA",840,"United States of America","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",2457
"VNM",704,"Viet Nam","crangonidae","natantian decapods nei","crangonidae_inland_capture",2018,0,0,1,0,"inland","capture",16248
"VNM",704,"Viet Nam","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",126163
"ZAF",710,"South Africa","crangonidae","natantian decapods nei","crangonidae_marine_capture",2018,0,0,1,0,"marine","capture",2
"MEX",484,"Mexico","farfantepenaeus aztecus","northern brown shrimp","farfantepenaeus.aztecus_marine_capture",2018,1,0,0,0,"marine","capture",16165
"USA",840,"United States of America","farfantepenaeus aztecus","northern brown shrimp","farfantepenaeus.aztecus_marine_capture",2018,1,0,0,0,"marine","capture",53892
"BRA",76,"Brazil","farfantepenaeus brasiliensis","redspotted shrimp","farfantepenaeus.brasiliensis_marine_capture",2018,1,0,0,0,"marine","capture",9000
"PAN",591,"Panama","farfantepenaeus brevirostris","crystal shrimp","farfantepenaeus.brevirostris_marine_capture",2018,1,0,0,0,"marine","capture",486
"ECU",218,"Ecuador","farfantepenaeus californiensis","yellowleg shrimp","farfantepenaeus.californiensis_marine_capture",2018,1,0,0,0,"marine","capture",147
"MEX",484,"Mexico","farfantepenaeus californiensis","yellowleg shrimp","farfantepenaeus.californiensis_marine_capture",2018,1,0,0,0,"marine","capture",36835
"PER",604,"Peru","farfantepenaeus californiensis","yellowleg shrimp","farfantepenaeus.californiensis_marine_capture",2018,1,0,0,0,"marine","capture",2
"CUB",192,"Cuba","farfantepenaeus duorarum","northern pink shrimp","farfantepenaeus.duorarum_marine_capture",2018,1,0,0,0,"marine","capture",1121
"MEX",484,"Mexico","farfantepenaeus duorarum","northern pink shrimp","farfantepenaeus.duorarum_marine_capture",2018,1,0,0,0,"marine","capture",2592
"USA",840,"United States of America","farfantepenaeus duorarum","northern pink shrimp","farfantepenaeus.duorarum_marine_capture",2018,1,0,0,0,"marine","capture",9363
"GAB",266,"Gabon","farfantepenaeus notialis","southern pink shrimp","farfantepenaeus.notialis_marine_capture",2018,1,0,0,0,"marine","capture",20
"GMB",270,"Gambia","farfantepenaeus notialis","southern pink shrimp","farfantepenaeus.notialis_marine_capture",2018,1,0,0,0,"marine","capture",903
"NGA",566,"Nigeria","farfantepenaeus notialis","southern pink shrimp","farfantepenaeus.notialis_marine_capture",2018,1,0,0,0,"marine","capture",20556
"SEN",686,"Senegal","farfantepenaeus notialis","southern pink shrimp","farfantepenaeus.notialis_marine_capture",2018,1,0,0,0,"marine","capture",2936
"CHL",152,"Chile","haliporoides diomedeae","chilean knife shrimp","haliporoides.diomedeae_marine_capture",2018,1,0,0,0,"marine","capture",84
"MOZ",508,"Mozambique","haliporoides triarthrus","knife shrimp","haliporoides.triarthrus_marine_capture",2018,1,0,0,0,"marine","capture",1935
"ZAF",710,"South Africa","haliporoides triarthrus","knife shrimp","haliporoides.triarthrus_marine_capture",2018,1,0,0,0,"marine","capture",65
"CHL",152,"Chile","heterocarpus reedi","chilean nylon shrimp","heterocarpus.reedi_marine_capture",2018,1,0,0,0,"marine","capture",5288
"COL",170,"Colombia","litopenaeus occidentalis","western white shrimp","litopenaeus.occidentalis_marine_capture",2018,1,0,0,0,"marine","capture",188
"ECU",218,"Ecuador","litopenaeus occidentalis","western white shrimp","litopenaeus.occidentalis_marine_capture",2018,1,0,0,0,"marine","capture",716
"BRA",76,"Brazil","litopenaeus schmitti","southern white shrimp","litopenaeus.schmitti_marine_capture",2018,1,0,0,0,"marine","capture",3500
"VEN",862,"Venezuela, Boliv Rep of","litopenaeus schmitti","southern white shrimp","litopenaeus.schmitti_marine_capture",2018,1,0,0,0,"marine","capture",2570
"MEX",484,"Mexico","litopenaeus setiferus","northern white shrimp","litopenaeus.setiferus_marine_capture",2018,1,0,0,0,"marine","capture",1142
"USA",840,"United States of America","litopenaeus setiferus","northern white shrimp","litopenaeus.setiferus_marine_capture",2018,1,0,0,0,"marine","capture",41407
"BRN",96,"Brunei Darussalam","litopenaeus stylirostris","blue shrimp","litopenaeus.stylirostris_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",724.317
"MEX",484,"Mexico","litopenaeus stylirostris","blue shrimp","litopenaeus.stylirostris_marine_capture",2018,1,0,0,0,"marine","capture",34339
"NCL",540,"New Caledonia","litopenaeus stylirostris","blue shrimp","litopenaeus.stylirostris_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",1505
"PYF",258,"French Polynesia","litopenaeus stylirostris","blue shrimp","litopenaeus.stylirostris_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",120
"BLZ",84,"Belize","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",500
"BRA",76,"Brazil","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",45750.438
"CHN",156,"China","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_inland_aquaculture",2018,1,0,0,0,"marine","aquaculture",642807
"CHN",156,"China","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",1117534
"COL",170,"Colombia","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_inland_aquaculture",2018,1,0,0,0,"marine","aquaculture",300
"COL",170,"Colombia","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",5097
"CRI",188,"Costa Rica","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",2700
"CUB",192,"Cuba","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",6474
"DOM",214,"Dominican Republic","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",400
"ECU",218,"Ecuador","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",560000
"EGY",818,"Egypt","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",155
"ESP",724,"Spain","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_inland_aquaculture",2018,1,0,0,0,"marine","aquaculture",7.5
"ESP",724,"Spain","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",7.5
"GTM",320,"Guatemala","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",17273
"GUM",316,"Guam","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",10
"HND",340,"Honduras","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",31500
"IDN",360,"Indonesia","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_inland_aquaculture",2018,1,0,0,0,"marine","aquaculture",22950
"IDN",360,"Indonesia","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",685730
"IND",356,"India","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",622000
"IRN",364,"Iran (Islamic Rep. of)","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",47859
"KOR",410,"Korea, Republic of","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",4480
"LBN",422,"Lebanon","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",15
"MEX",484,"Mexico","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",157934.361
"MEX",484,"Mexico","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_capture",2018,1,0,0,0,"marine","capture",13572
"MNP",580,"Northern Mariana Is.","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",23
"MYS",458,"Malaysia","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",36007.25
"NIC",558,"Nicaragua","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",29458.4
"PAN",591,"Panama","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",6409
"PER",604,"Peru","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",29716.93
"PHL",608,"Philippines","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",12527
"SAU",682,"Saudi Arabia","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",56100
"SGP",702,"Singapore","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",12.6
"SLV",222,"El Salvador","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",1150
"SLV",222,"El Salvador","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_capture",2018,1,0,0,0,"marine","capture",420
"SUR",740,"Suriname","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",30
"THA",764,"Thailand","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",357933
"TUN",788,"Tunisia","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",1.2
"TWN",158,"Taiwan Province of China","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_inland_aquaculture",2018,1,0,0,0,"marine","aquaculture",3721.258
"TWN",158,"Taiwan Province of China","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",4257.546
"TWN",158,"Taiwan Province of China","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_capture",2018,1,0,0,0,"marine","capture",48
"USA",840,"United States of America","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",2035
"VEN",862,"Venezuela, Boliv Rep of","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",21500
"VNM",704,"Viet Nam","litopenaeus vannamei","whiteleg shrimp","litopenaeus.vannamei_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",475000
"CHN",156,"China","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",55228
"ESP",724,"Spain","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",1.38
"FRA",250,"France","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",44.27
"FRA",250,"France","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_capture",2018,1,0,0,0,"marine","capture",1
"ISR",376,"Israel","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_capture",2018,1,0,0,0,"marine","capture",10
"ITA",380,"Italy","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",4.61
"JPN",392,"Japan","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",1478
"JPN",392,"Japan","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_capture",2018,1,0,0,0,"marine","capture",355
"KOR",410,"Korea, Republic of","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_capture",2018,1,0,0,0,"marine","capture",543
"TWN",158,"Taiwan Province of China","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",35.233
"TWN",158,"Taiwan Province of China","marsupenaeus japonicus","kuruma prawn","marsupenaeus.japonicus_marine_capture",2018,1,0,0,0,"marine","capture",25
"ALB",8,"Albania","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_capture",2018,1,0,0,0,"marine","capture",38
"ESP",724,"Spain","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",0.34
"ESP",724,"Spain","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_capture",2018,1,0,0,0,"marine","capture",285
"FRA",250,"France","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_capture",2018,1,0,0,0,"marine","capture",1
"GRC",300,"Greece","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_capture",2018,1,0,0,0,"marine","capture",512
"ITA",380,"Italy","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_capture",2018,1,0,0,0,"marine","capture",1676
"LBY",434,"Libya","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_capture",2018,1,0,0,0,"marine","capture",515
"TUN",788,"Tunisia","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_capture",2018,1,0,0,0,"marine","capture",76
"TUR",792,"Turkey","melicertus kerathurus","caramote prawn","melicertus.kerathurus_marine_capture",2018,1,0,0,0,"marine","capture",219
"THA",764,"Thailand","melicertus latisulcatus","western king prawn","melicertus.latisulcatus_marine_capture",2018,1,0,0,0,"marine","capture",665
"IDN",360,"Indonesia","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_aquaculture",2018,0,1,0,0,"marine","aquaculture",22622
"IDN",360,"Indonesia","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_capture",2018,0,1,0,0,"marine","capture",64809
"PAK",586,"Pakistan","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_capture",2018,0,1,0,0,"marine","capture",5869
"PHL",608,"Philippines","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_aquaculture",2018,0,1,0,0,"marine","aquaculture",520.6
"PHL",608,"Philippines","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_capture",2018,0,1,0,0,"marine","capture",7350
"PNG",598,"Papua New Guinea","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_capture",2018,0,1,0,0,"marine","capture",101
"THA",764,"Thailand","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_aquaculture",2018,0,1,0,0,"marine","aquaculture",124
"THA",764,"Thailand","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_capture",2018,0,1,0,0,"marine","capture",6864
"TWN",158,"Taiwan Province of China","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_capture",2018,0,1,0,0,"marine","capture",15
"VNM",704,"Viet Nam","metapenaeus","metapenaeus shrimps nei","metapenaeus_marine_aquaculture",2018,0,1,0,0,"marine","aquaculture",10000
"AUS",36,"Australia","metapenaeus endeavouri","endeavour shrimp","metapenaeus.endeavouri_marine_capture",2018,1,0,0,0,"marine","capture",905
"PHL",608,"Philippines","metapenaeus endeavouri","endeavour shrimp","metapenaeus.endeavouri_marine_capture",2018,1,0,0,0,"marine","capture",676
"TWN",158,"Taiwan Province of China","metapenaeus ensis","greasyback shrimp","metapenaeus.ensis_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",306.15
"KOR",410,"Korea, Republic of","metapenaeus joyneri","shiba shrimp","metapenaeus.joyneri_marine_capture",2018,1,0,0,0,"marine","capture",1149
"BGD",50,"Bangladesh","metapenaeus monoceros","speckled shrimp","metapenaeus.monoceros_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",3882
"SAU",682,"Saudi Arabia","metapenaeus monoceros","speckled shrimp","metapenaeus.monoceros_marine_capture",2018,1,0,0,0,"marine","capture",1421
"TUN",788,"Tunisia","metapenaeus monoceros","speckled shrimp","metapenaeus.monoceros_marine_capture",2018,1,0,0,0,"marine","capture",309
"GUY",328,"Guyana","nematopalaemon schmitti","whitebelly prawn","nematopalaemon.schmitti_marine_capture",2018,1,0,0,0,"marine","capture",1574
"UKR",804,"Ukraine","palaemon adspersus","baltic prawn","palaemon.adspersus_marine_capture",2018,1,0,0,0,"marine","capture",517
"FRA",250,"France","palaemon longirostris","delta prawn","palaemon.longirostris_marine_capture",2018,1,0,0,0,"marine","capture",5
"DNK",208,"Denmark","palaemon serratus","common prawn","palaemon.serratus_marine_capture",2018,1,0,0,0,"marine","capture",47
"ESP",724,"Spain","palaemon serratus","common prawn","palaemon.serratus_marine_capture",2018,1,0,0,0,"marine","capture",64
"FRA",250,"France","palaemon serratus","common prawn","palaemon.serratus_marine_capture",2018,1,0,0,0,"marine","capture",210
"GBR",826,"United Kingdom","palaemon serratus","common prawn","palaemon.serratus_marine_capture",2018,1,0,0,0,"marine","capture",30
"ESP",724,"Spain","palaemonetes varians","atlantic ditch shrimp","palaemonetes.varians_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",240.98
"PRT",620,"Portugal","palaemonetes varians","atlantic ditch shrimp","palaemonetes.varians_marine_aquaculture",2018,1,0,0,0,"marine","aquaculture",18.29
"CAN",124,"Canada","pandalus","pandalus shrimps nei","pandalus_marine_capture",2018,0,1,0,0,"marine","capture",83053
"GBR",826,"United Kingdom","pandalus","pandalus shrimps nei","pandalus_marine_capture",2018,0,1,0,0,"marine","capture",4
"IRL",372,"Ireland","pandalus","pandalus shrimps nei","pandalus_marine_capture",2018,0,1,0,0,"marine","capture",54
"SWE",752,"Sweden","pandalus","pandalus shrimps nei","pandalus_marine_capture",2018,0,1,0,0,"marine","capture",2
