"country_iso3_numeric","area.code","prod_method","species.alpha_3_code","year","unit_code","quantity","country_identifier","country_iso2_code","country_iso3_alpha","country_name_en","country_official_name_en","continent_group_en","ecoclass_group_en","georegion_group_en","area_name_en","ocean_group_en","habitat","faregion_group_en","production_identifier","production_name_en","sort","species_taxonomic_code","species_identifier","CommonName","SciName","author","species_major_group","yearbook_group_en","isscaap_group","cpc_class_en","cpc_group_en","unit_description_en","unit_identifier","unit_name_en","sws_unit","unit","symbol_description_en","symbol_name_en","Species01","Genus01","Family01","Other01","fao_habitat","taxa_source","Fresh01","Brack01","Saltwater01","fb_habitat"
158,61,"capture","MET",2018,"Q_tlw",15,214,"TW","TWN","Taiwan Province of China","Taiwan Province of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"22801016XX",3415,"metapenaeus shrimps nei","metapenaeus",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,1,0,0,"marine","metapenaeus_marine_capture",NA,NA,NA,NA
158,61,"capture","TRV",2018,"Q_tlw",511,214,"TW","TWN","Taiwan Province of China","Taiwan Province of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"2280104302",3419,"southern rough shrimp","trachysalambria curvirostris","(Stimpson 1860)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","trachysalambria.curvirostris_marine_capture",0,0,1,"marine"
158,61,"capture","DCP",2018,"Q_tlw",6989,214,"TW","TWN","Taiwan Province of China","Taiwan Province of China","Asia","Other developing countries or areas","Eastern Asia","Pacific, Northwest","Pacific Ocean","marine","Northern regions",4,"Capture production",40,"228XXXXXXX",3397,"natantian decapods nei","crangonidae",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,0,1,0,"marine","crangonidae_marine_capture",NA,NA,NA,NA
170,87,"capture","WWP",2018,"Q_tlw",188,44,"CO","COL","Colombia","the Republic of Colombia","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"2280100129",3412,"western white shrimp","litopenaeus occidentalis","Streets 1871","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","litopenaeus.occidentalis_marine_capture",0,1,1,"marine"
170,87,"capture","TIT",2018,"Q_tlw",448,44,"CO","COL","Colombia","the Republic of Colombia","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"2280102202",3418,"pacific seabob","xiphopenaeus kroyeri","Bouvier 1907","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","xiphopenaeus.kroyeri_marine_capture",0,1,1,"marine"
170,87,"capture","SOK",2018,"Q_tlw",4,44,"CO","COL","Colombia","the Republic of Colombia","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"2282907201",3438,"kolibri shrimp","solenocera agassizii","Faxon 1893","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","solenocera.agassizii_marine_capture",0,0,1,"marine"
178,34,"capture","PEN",2018,"Q_tlw",355,46,"CG","COG","Congo","the Republic of the Congo","Africa","Other developing countries or areas","Middle Africa","Atlantic, Eastern Central","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"22801001XX",3399,"penaeus shrimps nei","penaeus",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,1,0,0,"marine","penaeus_marine_capture",NA,NA,NA,NA
178,34,"capture","DPS",2018,"Q_tlw",340,46,"CG","COG","Congo","the Republic of the Congo","Africa","Other developing countries or areas","Middle Africa","Atlantic, Eastern Central","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"2280101701",2598,"deep-water rose shrimp","parapenaeus longirostris","(Lucas 1846)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","parapenaeus.longirostris_marine_capture",0,0,1,"marine"
188,77,"capture","PEN",2018,"Q_tlw",240,48,"CR","CRI","Costa Rica","the Republic of Costa Rica","Americas","Other developing countries or areas","Central America","Pacific, Eastern Central","Pacific Ocean","marine","Central regions",4,"Capture production",40,"22801001XX",3399,"penaeus shrimps nei","penaeus",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t","FAO estimate from available sources of information or calculation based on specific assumptions","ESTIMATE",0,1,0,0,"marine","penaeus_marine_capture",NA,NA,NA,NA
191,37,"capture","DPS",2018,"Q_tlw",913,98,"HR","HRV","Croatia","the Republic of Croatia","Europe","Developed countries or areas","Southern Europe","Mediterranean and Black Sea","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"2280101701",2598,"deep-water rose shrimp","parapenaeus longirostris","(Lucas 1846)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","parapenaeus.longirostris_marine_capture",0,0,1,"marine"
192,31,"capture","APS",2018,"Q_tlw",1121,49,"CU","CUB","Cuba","the Republic of Cuba","Americas","Other developing countries or areas","Caribbean","Atlantic, Western Central","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"2280100105",3402,"northern pink shrimp","farfantepenaeus duorarum","Burkenroad 1939","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","farfantepenaeus.duorarum_marine_capture",0,0,1,"marine"
196,37,"capture","DPS",2018,"Q_tlw",1,50,"CY","CYP","Cyprus","the Republic of Cyprus","Asia","Developed countries or areas","Western Asia","Mediterranean and Black Sea","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"2280101701",2598,"deep-water rose shrimp","parapenaeus longirostris","(Lucas 1846)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","parapenaeus.longirostris_marine_capture",0,0,1,"marine"
196,37,"capture","DCP",2018,"Q_tlw",1,50,"CY","CYP","Cyprus","the Republic of Cyprus","Asia","Developed countries or areas","Western Asia","Mediterranean and Black Sea","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"228XXXXXXX",3397,"natantian decapods nei","crangonidae",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,0,1,0,"marine","crangonidae_marine_capture",NA,NA,NA,NA
204,1,"capture","PEN",2018,"Q_tlw",889,53,"BJ","BEN","Benin","the Republic of Benin","Africa","Least Developed Countries","Western Africa","Africa - Inland waters",NA,"inland",NA,4,"Capture production",40,"22801001XX",3399,"penaeus shrimps nei","penaeus",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,1,0,0,"inland","penaeus_inland_capture",NA,NA,NA,NA
204,34,"capture","DCP",2018,"Q_tlw",6,53,"BJ","BEN","Benin","the Republic of Benin","Africa","Least Developed Countries","Western Africa","Atlantic, Eastern Central","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"228XXXXXXX",3397,"natantian decapods nei","crangonidae",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,0,1,0,"marine","crangonidae_marine_capture",NA,NA,NA,NA
208,21,"capture","PRA",2018,"Q_tlw",2123,54,"DK","DNK","Denmark","the Kingdom of Denmark","Europe","Developed countries or areas","Northern Europe","Atlantic, Northwest","Atlantic Ocean and adjacent seas","marine","Northern regions",4,"Capture production",40,"2280400203",3425,"northern prawn","pandalus borealis","Krøyer 1838","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","pandalus.borealis_marine_capture",0,0,1,"marine"
208,27,"capture","PRA",2018,"Q_tlw",3770,54,"DK","DNK","Denmark","the Kingdom of Denmark","Europe","Developed countries or areas","Northern Europe","Atlantic, Northeast","Atlantic Ocean and adjacent seas","marine","Northern regions",4,"Capture production",40,"2280400203",3425,"northern prawn","pandalus borealis","Krøyer 1838","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","pandalus.borealis_marine_capture",0,0,1,"marine"
208,27,"capture","CPR",2018,"Q_tlw",47,54,"DK","DNK","Denmark","the Kingdom of Denmark","Europe","Developed countries or areas","Northern Europe","Atlantic, Northeast","Atlantic Ocean and adjacent seas","marine","Northern regions",4,"Capture production",40,"2281201810",2607,"common prawn","palaemon serratus","(Pennant 1777)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","palaemon.serratus_marine_capture",0,1,1,"marine"
208,27,"capture","CSH",2018,"Q_tlw",3055,54,"DK","DNK","Denmark","the Kingdom of Denmark","Europe","Developed countries or areas","Northern Europe","Atlantic, Northeast","Atlantic Ocean and adjacent seas","marine","Northern regions",4,"Capture production",40,"2282300303",3435,"common shrimp","crangon crangon","(Linnaeus 1758)","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","crangon.crangon_marine_capture",0,1,1,"marine"
214,31,"capture","PEN",2018,"Q_tlw",62,56,"DO","DOM","Dominican Republic","the Dominican Republic","Americas","Other developing countries or areas","Caribbean","Atlantic, Western Central","Atlantic Ocean and adjacent seas","marine","Central regions",4,"Capture production",40,"22801001XX",3399,"penaeus shrimps nei","penaeus",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,1,0,0,"marine","penaeus_marine_capture",NA,NA,NA,NA
218,87,"capture","YPS",2018,"Q_tlw",147,58,"EC","ECU","Ecuador","the Republic of Ecuador","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"2280100104",3401,"yellowleg shrimp","farfantepenaeus californiensis","Holmes 1900","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","farfantepenaeus.californiensis_marine_capture",0,1,1,"marine"
218,87,"capture","WWP",2018,"Q_tlw",716,58,"EC","ECU","Ecuador","the Republic of Ecuador","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"2280100129",3412,"western white shrimp","litopenaeus occidentalis","Streets 1871","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","litopenaeus.occidentalis_marine_capture",0,1,1,"marine"
218,87,"capture","PEN",2018,"Q_tlw",439,58,"EC","ECU","Ecuador","the Republic of Ecuador","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"22801001XX",3399,"penaeus shrimps nei","penaeus",NA,"CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,0,1,0,0,"marine","penaeus_marine_capture",NA,NA,NA,NA
218,87,"capture","RRJ",2018,"Q_tlw",8739,58,"EC","ECU","Ecuador","the Republic of Ecuador","Americas","Other developing countries or areas","South America","Pacific, Southeast","Pacific Ocean","marine","Southern regions",4,"Capture production",40,"2280100301",16600,"titi shrimp","protrachypene precipua","Burkenroad 1934","CRUSTACEA","Fish, crustaceans and molluscs, etc.","Shrimps, prawns","Other shrimps and prawns, live, fresh or chilled","Crustaceans, live, fresh or chilled","Observed measure unit (Tonnes - live weight)",9,"Tonnes - live weight",NA,"t",NA,NA,1,0,0,0,"marine","protrachypene.precipua_marine_capture",0,0,1,"marine"
